一,m
勻,pmm
勼,pkn/xpkn
勽,po/xpo
勾,pi
勿,phh
匀,pim
匁,pk/xpk
匂,pp/xpp
匃,pvo
匄,pyv/xpyv
包,pru
匆,pkk
匇,pni
匈,puk
匉,pmfj/xpmfj
匊,pfd
匋,poju
匌,pomr/xpomr
匍,pijb
匎,pklu
匏,kspru
匐,pmrw
匑,phhn
匒,ptor
匓,paie/phpe
匔,phhr
匕,uh
化,op
北,lmp
匘,pvvw/xpvvw
匙,aop
匚,mv
匛,sno
匜,spd
匝,slb
匞,sm/xxsm
匟,syhn
匠,shml
匡,smg
匢,sphh
匣,swl
匤,smgi
匥,sit
匦,skqn
匧,skoo
匨,svmg
匩,sumg
匪,slmy
匫,spha
匬,somn
匭,sjjn
匮,slmo
匯,seog
匰,srrj
匱,slmc
匲,skrr
匳,somo
匴,shbt
匵,sgwc
匶,stox
匷,sbug
匸,mv/xmv
匹,sc
区,sk
医,sok
匼,somr
匽,sav
匾,shsb/sisb
匿,stkr
區,srrr
十,j
卂,nj
千,hj
卄,jj
卅,tj
卆,knj
升,ht
午,oj/xoj
卉,jt
半,fq
卋,jt/xjt
卌,tt/xxtt
卍,nx
华,opj
协,jksc
卐,vx
卑,hwhj
卒,yooj
卓,yaj
協,jkss
单,cwj
卖,jnyk
南,jbtj
単,fwj
卙,tvj
博,jibi
卛,vfj
卜,y
卝,lmy
卞,yy
卟,ry
占,yr
卡,ymy
卢,ys
卣,yws
卤,ywk
卥,ywkk
卦,ggy
卧,sly
卨,xybbr/ybbr
卩,sl
卪,sli
卫,slm
卬,hvsl
卭,msl
卮,hmsu
卯,hhsl
印,hpsl
危,nmsu
卲,srsl
即,aisl
却,gisl
卵,hhsli
卶,nnsl
卷,fqsu
卸,omsl
卹,htsl
卺,nemsu
卻,crsl
卼,munmu
卽,hpsl/xhpsl
卾,rssl
卿,hhail
厀,desl
厁,ojsl
厂,mh
厃,nm
厄,msu
厅,mmn
历,mks/xmks
厇,mhp
厈,mmj
厉,mms
厊,mmvh
压,mgi/xmgi
厌,mik
厍,mkq/xmkq
厎,mhpm/mhvi
厏,mos
厐,mikp
厑,mrp
厒,moju
厓,mgg
厔,mmig
厕,mbon
厖,miuh
厗,mytj
厘,mwg
厙,mjwj
厚,mand
厛,mrhl
厜,mhjm
厝,mta
厞,mlmy
原,mhaf
厠,mbcn
厡,mhae
厢,mdbu
厣,mikl
厤,mhdd
厥,mtuo
厦,mmue
厧,mjbc
厨,mmti
厩,maiu
厪,mtlm
厫,mgsk/mqsk
厬,mahr
厭,mabk
厮,mtcl
厯,mddi
厰,mfbk/xmfbk
厱,momo
厲,mtwb
厳,fmmjk/fmnjk
厴,mkwl
厵,mfmff
厶,vi/xvi
厷,ki/xki
厸,ii/xxii
厹,kni/xkni
厺,ki/xxki
去,gi
厼,if
厽,iii
厾,ngi
县,bmi
叀,jwi
叁,ikmmm
参,ikhhh
參,iiih
叄,iiim
叅,iiip
叆,mibbe/xmibb
叇,miyle/xmiyl
又,nk
叉,ei/xei
及,nhe
友,ke
双,ee/xee
反,he
収,vle
叏,dje/xdje
叐,hke/xhke
发,ivke
叒,eee/xeee
叓,jle
叔,yfe
叕,eeee
取,sje
受,bbe
变,yce
叙,ode
叚,rsse
叛,fqhe
叜,jfe
叝,gisle
叞,sfe/xsfe
叟,hxle
叠,eeem
叡,yue
叢,tcte
口,r
古,jr
句,pr
另,rks
叧,rsh/xrsh
叨,rsh
叩,rsl
只,rc
叫,rvl
召,shr
叭,rc/xrc
叮,rmn
可,mnr
台,ir
叱,rp
史,lk
右,kr
叴,knr
叵,sr
叶,rj
号,rmvs
司,smr
叹,re
叺,ro
叻,rks/xrks
叼,rsm
叽,rhn
叾,nnr
叿,rm
吀,rhj
吁,rmd
吂,yvr
吃,ron
各,her
吅,rr/xrr
吆,rvi
吇,rnd
合,omr
吉,gr
